Characteristic,MIMIC-IV v3.1,SICdb v1.0.8,eICU-CRD v2.0
Eligible episodes n,10504,2458,14599
Unique patients n,9650,2338,13896
Age median (IQR) years,66 (55–76),70 (65–80),66 (55–75)
Female n (%),4188 (39.9),Not available,6115 (41.9)
Episode baseline creatinine median (IQR) mg/dL,1.20 (0.80–2.00),1.07 (0.80–1.50),1.23 (0.80–2.28)
Initial Stage 1 AKI n (%),8422 (80.2),2140 (87.1),11213 (76.8)
Initial Stage 2/3 AKI n (%),2082 (19.8),318 (12.9),3386 (23.2)
Onset intensive care day median (IQR),1.06 (0.52–2.06),1.19 (0.61–2.27),0.98 (0.42–1.91)
Database-covered critical-care spell median (IQR) hours,166.5 (104.6–284.4),186.3 (115.0–341.4),151.7 (99.7–251.1)
Creatinine measurements per episode trajectory median (IQR),13 (8–23),9 (6–15),9 (5–15)
Adjacent creatinine interval median (IQR) hours,11.0 (6.5–15.0),24.0 (23.5–24.1),18.9 (8.0–24.0)
Actual retest within 24 hours after first positivity n (%),9537 (90.8),1778 (72.3),10729 (73.5)
